asset_id,asset_type,builtin_mat,extended_mat
00000054c36d44a2a483bdbff31d8edf,objaverse,wood,plastic
000074a334c541878360457c672b6c2e,objaverse,wood,rubber
000089ac5d7b42db9d7b3e318e7dfb39,objaverse,wood,ceramic
0001550f4c0147c483b01f6efe93ea2e,objaverse,marble,marble
0001b3c342c74d6987571b531a325199,objaverse,wood,plastic
0001c4ddd54a4a9a8afe5e03ed0bd082,objaverse,metal,ceramic
0002064ef02e46f9a10b4bff10bae805,objaverse,very dry ground,ceramic
000213ffa75749729c5a69e3d30519a9,objaverse,metal,ceramic
00026c416cf24a23bebc2ceef16344c6,objaverse,wood,wood
0002e50309b44e409c96f440202d90b3,objaverse,wood,fabric
0004492ea54f48b2a41e0b922e5402b0,objaverse,wood,plastic
0004832560134f0a8b99797a333c70bf,objaverse,metal,metal
00049a1ac6fd4735bb52d3aeb85c0207,objaverse,metal,metal
00052d0d9a304d308058260a4a9b7c20,objaverse,wood,wood
0005b5632c344ac69a1da6c21dfb7cd4,objaverse,wood,ceramic
0005dcd0d74048d78d4839e588ab548c,objaverse,metal,metal
0005df571e71437991594d0affec9c2b,objaverse,metal,metal
0005f4b00efb40e2bedc767f36242f3a,objaverse,wood,plastic
0007008488014d03bd49cee214766efc,objaverse,wood,wood
00079540be164f50b1e267fb11d7db6d,objaverse,wood,plastic
0007d3e94a824e3282e01b95a8feb2b6,objaverse,metal,metal
0008079973e64039a4ff846ed989c754,objaverse,very dry ground,metal
00082091376e4e3fb522e0bea81f597e,objaverse,metal,metal
00089cb739bf4b768b118fd16da0034b,objaverse,brick,marble
00099fa513df45a8a6e1f70013e0f695,objaverse,plasterboard,plastic
000a00944e294f7a94f95d420fdd45eb,objaverse,wood,plastic
000a0c5cdc3146ea87485993fbaf5352,objaverse,metal,ceramic
000a598431ae45b7abc5daf7fe994317,objaverse,metal,metal
000a883519934f4383b9aeb0d535c545,objaverse,metal,metal
000b76f2b03e44e8ab44e1a1614be0f4,objaverse,metal,metal
000bb73b0f654ec3980c2051e07764dd,objaverse,glass,plastic
000cede66cd7444083372b7377950419,objaverse,wood,wood
000d4db112fd42c4a351018e8cf1f244,objaverse,wood,ceramic
000d91ba56154685989873768f7d130a,objaverse,metal,metal
000e001e511f473e9cd412e9bd6f3343,objaverse,marble,marble
000ec112ae7f4a8a93f847ccfd4031be,objaverse,metal,metal
000f7f394b0e4b8684d4cc89dda148aa,objaverse,wood,paper
000faf5e58054570bf844bbbc2ed8cf0,objaverse,very dry ground,ceramic
000fcb1ee82b420fa87fced46f19e7c6,objaverse,wood,plastic
0010245ab5db4f12a18dfcd80fa9df4d,objaverse,wood,plastic
00108276a86c44cd862ab7eeea0c161e,objaverse,wood,ceramic
001092f078114ba2ba701b2b17db8704,objaverse,wood,plastic
00109f6e8d13488dbf86eb731eadab17,objaverse,glass,ceramic
